"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"58459","서울특별시 관악구 봉천동","867-12","0867","0012","프라비다2","15.6400","202410","25","14,800","-","12","개인","개인","2013","남부순환로218길 37","-","중개거래","서울 관악구","24.11.12"
"58460","서울특별시 관악구 봉천동","1716","1716","0000","벽산타운II","57.3600","202410","25","59,950","501","10","개인","개인","2003","구암5가길 49","-","중개거래","서울 관악구","25.03.31"
"58461","서울특별시 관악구 봉천동","1717","1717","0000","관악푸르지오","59.5800","202410","25","80,500","116","11","개인","개인","2004","관악로30길 27","-","중개거래","서울 관악구","25.01.03"
"58462","서울특별시 서초구 방배동","424-28","0424","0028","롯데캐슬아르떼","59.9902","202410","25","207,000","103","5","개인","개인","2013","방배천로18길 11","-","중개거래","서울 서초구","25.01.31"
"58463","서울특별시 서초구 방배동","424-28","0424","0028","롯데캐슬아르떼","121.6576","202410","25","295,000","108","13","개인","개인","2013","방배천로18길 11","-","중개거래","서울 서초구","25.01.15"
"58464","서울특별시 강남구 개포동","187","0187","0000","개포주공5단지","74.2500","202410","25","282,000","504","12","개인","개인","1983","삼성로4길 17","-","중개거래","서울 강남구","25.02.05"
"58465","서울특별시 강남구 개포동","1281","1281","0000","디에이치아너힐즈","59.7479","202410","25","245,000","316","3","개인","개인","2019","삼성로 11","-","중개거래","서울 강남구","25.04.30"
"58466","서울특별시 강남구 개포동","176-2","0176","0002","대치푸르지오발라드","35.1099","202410","25","94,146","1동","8","개인","법인","2024","개포로 407","-","직거래","-","25.03.04"
"58467","서울특별시 동작구 상도동","533","0533","0000","힐스테이트 상도 프레스티지","120.5710","202410","25","164,500","214","13","개인","개인","2013","상도로 346-2","-","중개거래","서울 동작구","25.02.07"
"58468","서울특별시 서초구 반포동","1341","1341","0000","반포래미안아이파크","99.9200","202410","25","408,000","105","16","개인","개인","2018","서초중앙로 220","-","중개거래","서울 서초구","25.02.07"
"58469","서울특별시 동작구 상도동","900","0900","0000","상도파크자이","72.3280","202410","25","148,300","101","11","개인","개인","2016","장승배기로11가길 11","-","중개거래","서울 동작구","25.02.07"
"58470","서울특별시 동작구 상도동","535","0535","0000","두산위브트레지움2차","84.8624","202410","25","143,000","206","21","개인","개인","2016","상도로30길 40","-","중개거래","서울 동작구","25.01.15"
